feature_columns,fscores
hometown_00002129,0.0
hometown_00002130,0.0
hometown_00002131,0.0
hometown_00002133,0.0
hometown_00002145,0.0
hometown_00002134,0.0
hometown_00002135,0.0
hometown_00002136,0.0
hometown_00002137,0.0
hometown_00002138,0.0
hometown_00002139,0.0
hometown_00002140,0.0
hometown_00002141,0.0
hometown_00002142,0.0
hometown_00002143,0.0
hometown_00002144,0.0
hometown_00002064,0.0
hometown_00002062,0.0
hometown_00002174,0.0
hometown_00001992,0.0
hometown_00001981,0.0
hometown_00001982,0.0
hometown_00001983,0.0
hometown_00001984,0.0
hometown_00001985,0.0
hometown_00001986,0.0
hometown_00001987,0.0
hometown_00001988,0.0
hometown_00001989,0.0
hometown_00001990,0.0
hometown_00001991,0.0
hometown_00001993,0.0
hometown_00001979,0.0
hometown_00001994,0.0
hometown_00001995,0.0
hometown_00001996,0.0
hometown_00001997,0.0
hometown_00001998,0.0
hometown_00001999,0.0
hometown_00002000,0.0
hometown_00002001,0.0
hometown_00002002,0.0
hometown_00002003,0.0
hometown_00002004,0.0
hometown_00001980,0.0
hometown_00001978,0.0
hometown_00002006,0.0
hometown_00001964,0.0
hometown_00001953,0.0
hometown_00001954,0.0
hometown_00001955,0.0
hometown_00001956,0.0
hometown_00001957,0.0
hometown_00001958,0.0
hometown_00001959,0.0
hometown_00001960,0.0
hometown_00001961,0.0
hometown_00001962,0.0
hometown_00001963,0.0
hometown_00001965,0.0
hometown_00001977,0.0
hometown_00001966,0.0
hometown_00001967,0.0
hometown_00001968,0.0
hometown_00001969,0.0
hometown_00001970,0.0
hometown_00001971,0.0
hometown_00001972,0.0
hometown_00001973,0.0
hometown_00001974,0.0
hometown_00001975,0.0
hometown_00001976,0.0
hometown_00002005,0.0
hometown_00002007,0.0
hometown_00002061,0.0
hometown_00002048,0.0
hometown_00002037,0.0
hometown_00002038,0.0
hometown_00002039,0.0
hometown_00002040,0.0
hometown_00002041,0.0
hometown_00002042,0.0
hometown_00002043,0.0
hometown_00002044,0.0
hometown_00002045,0.0
hometown_00002046,0.0
hometown_00002047,0.0
hometown_00002049,0.0
hometown_00002035,0.0
hometown_00002050,0.0
hometown_00002051,0.0
hometown_00002052,0.0
hometown_00002053,0.0
hometown_00002054,0.0
hometown_00002055,0.0
hometown_00002056,0.0
hometown_00002057,0.0
hometown_00002058,0.0
hometown_00002059,0.0
hometown_00002060,0.0
hometown_00002036,0.0
hometown_00002034,0.0
